KYTREASNOX,CALDT,TDYTM
2000005,1/2/1973,6.204699693
2000005,1/3/1973,6.176712063
2000005,1/4/1973,6.148737365
2000005,1/5/1973,6.190903043
2000005,1/8/1973,6.219304789
2000005,1/9/1973,6.205310993
2000005,1/10/1973,6.219497793
2000005,1/11/1973,6.219595435
2000005,1/12/1973,6.233813103
2000005,1/15/1973,6.205864174
2000005,1/16/1973,6.213025842
2000005,1/17/1973,6.191921543
2000005,1/18/1973,6.206150964
2000005,1/19/1973,6.248745006
2000005,1/22/1973,6.263305989
2000005,1/23/1973,6.22082684
2000005,1/24/1973,6.256450239
2000005,1/25/1973,6.277924075
2000005,1/26/1973,6.306572566
2000005,1/29/1973,6.292744912
2000005,1/30/1973,6.285750645
2000005,1/31/1973,6.293038014
2000005,2/1/1973,6.407874316
2000005,2/2/1973,6.436861877
2000005,2/5/1973,6.437518163
2000005,2/6/1973,6.437738799
2000005,2/7/1973,6.423528875
2000005,2/8/1973,6.416529008
2000005,2/9/1973,6.36627893
2000005,2/13/1973,6.395920264
2000005,2/14/1973,6.410587727
2000005,2/15/1973,6.396335829
2000005,2/16/1973,6.410826698
2000005,2/20/1973,6.519997309
2000005,2/21/1973,6.512782271
2000005,2/22/1973,6.498273545
2000005,2/23/1973,6.461911438
2000005,2/26/1973,6.5790324
2000005,2/27/1973,6.571808765
2000005,2/28/1973,6.586588775
2000005,3/1/1973,6.57202193
2000005,3/2/1973,6.630940044
2000005,3/5/1973,6.660856697
2000005,3/6/1973,6.697966927
2000005,3/7/1973,6.661161469
2000005,3/8/1973,6.690903966
2000005,3/9/1973,6.705888908
2000005,3/12/1973,6.713842481
2000005,3/13/1973,6.676921187
2000005,3/14/1973,6.684506338
2000005,3/15/1973,6.71439247
2000005,3/16/1973,6.781620315
2000005,3/19/1973,6.707692618
2000005,3/20/1973,6.700430755
2000005,3/21/1973,6.693165493
2000005,3/22/1973,6.693346091
2000005,3/23/1973,6.693527646
2000005,3/26/1973,6.619562024
2000005,3/27/1973,6.5899642
2000005,3/28/1973,6.530700239
2000005,3/29/1973,6.523393393
2000005,3/30/1973,6.657464984
2000005,4/2/1973,6.650507903
2000005,4/3/1973,6.605862629
2000005,4/4/1973,6.531490363
2000005,4/5/1973,6.52416498
2000005,4/6/1973,6.427723012
2000005,4/9/1973,6.398266231
