"","PERMNO","TICKER","CUSIP","YEAR","MCAP","RET.x","RET.y","Cap"
"1",10000,"OMFGA","68391610",1986,1981.56609,-0.882142847534233,0.07317095,9476
"2",10000,"OMFGA","68391610",1987,851.59375,-0.575757347902162,-0.80357158,9455.508
"3",10001,"GFGC","36720410",1986,6937,0.217369077869878,0.08695667,5897.688
"4",10001,"GFGC","36720410",1987,5828,-0.101275120033897,0.2082197,6299.83
"5",10001,"GFGC","36720410",1988,6362.25,0.163160192505212,0.1084189,6182.766
"6",10001,"GFGC","36720410",1989,10347.75,0.687925758196561,0.2740998,6240.697
"7",10001,"GFGC","36720410",1990,10013,-0.00872116396250855,-5.040123e-07,10294.52
"8",10001,"GFGC","36720410",1991,15587.5,0.607470828774737,-0.0353362,10129.43
"9",10001,"GFGC","36720410",1992,15120,0.0126212448615792,0.5924171,10940.93
"10",10001,"EWST","36720410",1993,20047.125,0.367996674792745,0.6714269,11962.73
"11",10001,"EWST","36720410",1994,17792,0.00661683922583922,1.137356,13218.74
"12",10001,"EWST","36720410",1995,21384.375,0.228628312761812,1.106924,14780.48
"13",10001,"EWST","36720410",1996,19150.625,-0.0904477753414937,-0.0666673,20643.05
"14",10001,"EWST","36720410",1997,21555,0.164265312070448,-0.02630328,20081.94
"15",10001,"EWST","36720410",1998,23302.125,0.124245382179036,0.13430248,20197.25
"16",10001,"EWST","36720410",1999,20825,-0.0662204039996153,0.25886712,20654.42
"17",10001,"EWST","36720410",2000,24355.5,0.21472490005584,0.19616028,20906.16
"18",10001,"EWST","36720410",2001,29380.7,0.229015048379317,0.01282081,24407.54
"19",10001,"EWST","36720410",2002,19046.441,-0.318478502115107,0.2151579,27525.02
"20",10001,"EWST","36720410",2003,15446.2,-0.176303537283407,-0.07185662,25982.78
"21",10001,"EWST","36720410",2004,17933.1,0.159663200958041,0.13445391,17347.77
"22",10001,"EWST","36720410",2005,28421,0.411362899281196,-0.01331968,17032.52
"23",10001,"EWST","36720410",2006,32844.9,0.181931701624285,0.43958453,20226.86
"24",10001,"EWST","36720410",2007,40652.5,0.334089491911573,0.70493014,23390.2
"25",10001,"EWST","36720410",2008,35493.22,-0.0581975504709265,-0.02121648,40329.06
"26",10001,"EGAS","36720410",2009,44918.3,0.324435340774233,-0.04798951,39352.83
"27",10001,"EGAS","36720410",2010,82413.68,0.0739937152689896,0.25352733,38231.45
"28",10001,"EGAS","36720410",2011,93118.68,0.139163138738249,0.3439434,45457.45
"29",10001,"EGAS","36720410",2012,76104.81,-0.139379698570181,-0.008757426,92580.35
"30",10001,"EGAS","36720410",2013,83929.56,-0.090693841501766,-0.1095571,84951.98
"31",10001,"EGAS","36720410",2014,115577.76,0.442748934495806,-0.2109732,88388.24
"32",10001,"EGAS","36720410",2015,78262.25,-0.282165270445762,0.1381024,96300.07
"33",10001,"EGAS","36720410",2016,132026,0.740636606645356,-0.1737352,97248
