KYTREASNOX,CALDT,TDYTM
2000003,8/24/1973,8.108403179
2000003,8/27/1973,8.196176014
2000003,8/28/1973,8.270653222
2000003,8/29/1973,8.278043399
2000003,8/30/1973,8.251631471
2000003,8/31/1973,8.292960467
2000003,9/4/1973,8.3233527
2000003,9/5/1973,8.227859327
2000003,9/6/1973,8.235335109
2000003,9/7/1973,8.208283394
2000003,9/10/1973,8.33548386
2000003,9/11/1973,8.413412561
2000003,9/12/1973,8.526983858
2000003,9/13/1973,8.641313452
2000003,9/14/1973,8.61480677
2000003,9/17/1973,8.534466076
2000003,9/18/1973,8.328835172
2000003,9/19/1973,8.336956319
2000003,9/20/1973,8.237497157
2000003,9/21/1973,8.137562257
2000003,9/24/1973,7.979536193
2000003,9/25/1973,7.877942477
2000003,9/26/1973,7.775850959
2000003,9/27/1973,7.382315316
2000003,9/28/1973,7.308993821
2000003,10/1/1973,7.385032112
2000003,10/2/1973,7.453334898
2000003,10/3/1973,7.457114128
2000003,10/4/1973,7.428382594
2000003,10/5/1973,7.236615317
2000003,10/9/1973,7.183939636
2000003,10/10/1973,7.220069876
2000003,10/11/1973,7.190269282
2000003,10/12/1973,7.127188224
2000003,10/15/1973,7.136363057
2000003,10/16/1973,7.172959733
2000003,10/17/1973,7.176172714
2000003,10/18/1973,7.145725636
2000003,10/19/1973,7.115124703
2000003,10/23/1973,7.127617814
2000003,10/24/1973,6.993947959
2000003,10/25/1973,6.996761066
2000003,10/26/1973,6.965215839
2000003,10/29/1973,6.973541092
2000003,10/30/1973,6.9415946
2000003,10/31/1973,6.952601107
2000003,11/1/1973,7.080125517
2000003,11/2/1973,7.146274977
2000003,11/5/1973,7.347070571
2000003,11/7/1973,7.482923613
2000003,11/8/1973,7.424712919
2000003,11/9/1973,7.52501258
2000003,11/12/1973,7.669203702
2000003,11/13/1973,7.803672991
2000003,11/14/1973,7.809787689
2000003,11/15/1973,7.621850731
2000003,11/16/1973,7.529463239
2000003,11/19/1973,7.347603529
2000003,11/20/1973,7.286431345
2000003,11/21/1973,7.257681148
2000003,11/23/1973,7.232628801
2000003,11/26/1973,7.045644457
2000003,11/27/1973,7.08221274
2000003,11/28/1973,7.0857229
2000003,11/29/1973,7.122618586
2000003,11/30/1973,7.092812498
2000003,12/3/1973,7.137354383
2000003,12/4/1973,7.174934876
2000003,12/5/1973,7.280652751
2000003,12/6/1973,7.352972873
2000003,12/7/1973,7.323190753
2000003,12/10/1973,7.129699598
2000003,12/11/1973,7.133525343
2000003,12/12/1973,6.999112757
2000003,12/13/1973,7.037243989
2000003,12/14/1973,6.93664127
2000003,12/17/1973,6.806711589
2000003,12/18/1973,6.844790492
2000003,12/19/1973,6.883105919
2000003,12/20/1973,6.85105038
2000003,12/21/1973,6.925030066
2000003,12/24/1973,6.935283558
2000003,12/26/1973,7.158123796
2000003,12/27/1973,7.162284485
2000003,12/28/1973,7.130249625
2000003,12/31/1973,7.13159537
2000003,1/2/1974,7.170219082
2000003,1/3/1974,7.108723793
2000003,1/4/1974,7.079393336
2000003,1/7/1974,7.121346851
2000003,1/8/1974,7.15736797
2000003,1/9/1974,7.160684863
2000003,1/10/1974,7.230035747
2000003,1/11/1974,7.233574845
2000003,1/14/1974,7.311106837
2000003,1/15/1974,7.314922637
2000003,1/16/1974,7.285187508
2000003,1/17/1974,7.120779701
2000003,1/18/1974,7.292759882
2000003,1/21/1974,7.338351639
2000003,1/22/1974,7.342347608
2000003,1/23/1974,7.380615884
2000003,1/24/1974,7.316088641
2000003,1/25/1974,7.354496393
2000003,1/28/1974,7.297457889
2000003,1/29/1974,7.26664744
2000003,1/30/1974,7.131077275
2000003,1/31/1974,6.79680428
2000003,2/1/1974,6.583874631
2000003,2/4/1974,6.466988733
2000003,2/5/1974,6.469099899
2000003,2/6/1974,6.471225338
2000003,2/7/1974,6.629746518
2000003,2/8/1974,6.600936213
2000003,2/11/1974,6.608493229
2000003,2/13/1974,6.550044287
2000003,2/14/1974,6.488757257
2000003,2/15/1974,6.522949048
2000003,2/19/1974,6.561507735
2000003,2/20/1974,6.563191969
2000003,2/21/1974,6.56488848
2000003,2/22/1974,6.664276854
2000003,2/25/1974,6.670268545
2000003,2/26/1974,6.837062165
2000003,2/27/1974,6.839549211
2000003,2/28/1974,6.875217815
2000003,3/1/1974,6.977657884
2000003,3/4/1974,7.019999148
2000003,3/5/1974,7.056730472
2000003,3/6/1974,6.992373193
2000003,3/7/1974,6.961535584
2000003,3/8/1974,7.100272825
2000003,3/11/1974,7.144596895
2000003,3/12/1974,7.148092374
2000003,3/13/1974,7.289560285
2000003,3/14/1974,7.224303474
2000003,3/15/1974,7.332169206
2000003,3/18/1974,7.449617468
2000003,3/19/1974,7.45409336
2000003,3/20/1974,7.705645957
2000003,3/21/1974,8.136929652
2000003,3/22/1974,8.250536205
2000003,3/25/1974,8.235322668
2000003,3/26/1974,8.097861738
2000003,3/27/1974,7.88753349
2000003,3/28/1974,8.183582281
2000003,3/29/1974,8.117613665
2000003,4/1/1974,7.990968098
2000003,4/2/1974,8.034129071
2000003,4/3/1974,8.040651619
2000003,4/4/1974,8.158343839
2000003,4/5/1974,8.202474714
2000003,4/8/1974,8.186443971
2000003,4/9/1974,8.231230267
2000003,4/10/1974,8.087594542
2000003,4/11/1974,8.094489669
2000003,4/15/1974,8.007688539
2000003,4/16/1974,8.091279992
2000003,4/17/1974,8.252614091
2000003,4/18/1974,8.29894946
2000003,4/19/1974,8.30674402
2000003,4/22/1974,8.252036042
2000003,4/23/1974,8.338488474
2000003,4/24/1974,8.307091629
2000003,4/25/1974,8.473604756
2000003,4/26/1974,8.561783121
2000003,4/29/1974,8.709396092
2000003,4/30/1974,8.566801362
2000003,5/1/1974,8.542349947
2000003,5/2/1974,8.517786639
2000003,5/3/1974,8.808994402
2000003,5/6/1974,8.92779752
2000003,5/7/1974,8.967847979
2000003,5/8/1974,8.911843357
2000003,5/9/1974,8.887736882
2000003,5/10/1974,8.67033422
2000003,5/13/1974,8.466134223
2000003,5/14/1974,8.505565773
2000003,5/15/1974,8.285179409
2000003,5/16/1974,8.291295704
2000003,5/17/1974,8.362739269
2000003,5/20/1974,8.34903398
2000003,5/21/1974,8.190597046
2000003,5/22/1974,8.064564419
2000003,5/23/1974,7.971067747
2000003,5/24/1974,7.877169313
2000003,5/28/1974,8.03212562
2000003,5/29/1974,8.105039775
2000003,5/30/1974,8.043578137
2000003,5/31/1974,8.252212835
2000003,6/3/1974,8.37387799
2000003,6/4/1974,8.209545418
2000003,6/5/1974,8.250189857
2000003,6/6/1974,8.187901282
2000003,6/7/1974,8.090868325
2000003,6/10/1974,8.178721217
2000003,6/11/1974,8.254847731
2000003,6/12/1974,8.296467273
2000003,6/13/1974,8.443681147
2000003,6/14/1974,8.450911203
2000003,6/17/1974,8.330829181
2000003,6/18/1974,8.373437539
2000003,6/19/1974,8.309199506
2000003,6/20/1974,8.316196339
2000003,6/21/1974,8.28734933
2000003,6/24/1974,8.453349999
2000003,6/25/1974,8.533645155
2000003,6/26/1974,8.504985986
2000003,6/27/1974,8.585950932
2000003,6/28/1974,8.557276533
2000003,7/1/1974,8.655498711
2000003,7/2/1974,8.626698805
2000003,7/3/1974,8.70960031
2000003,7/5/1974,8.764403298
2000003,7/8/1974,8.866911418
2000003,7/9/1974,8.876168739
2000003,7/10/1974,8.809200809
2000003,7/11/1974,8.665436915
2000003,7/12/1974,8.253346859
2000003,7/15/1974,8.275888111
2000003,7/16/1974,8.322192626
2000003,7/17/1974,8.291185575
2000003,7/18/1974,8.298916936
2000003,7/19/1974,8.30670413
2000003,7/22/1974,8.212161428
2000003,7/23/1974,8.180271369
2000003,7/24/1974,8.18782641
2000003,7/25/1974,8.235216961
2000003,7/26/1974,8.482751931
2000003,7/29/1974,8.630151367
2000003,7/30/1974,8.842420829
2000003,7/31/1974,8.664144198
2000003,8/1/1974,8.829111745
2000003,8/2/1974,8.868680885
2000003,8/5/1974,8.797581647
2000003,8/6/1974,8.678010224
2000003,8/7/1974,8.781614435
2000003,8/8/1974,8.789612424
2000003,8/9/1974,8.861987154
2000003,8/12/1974,8.886932041
2000003,8/13/1974,8.895347253
2000003,8/14/1974,8.871210299
2000003,8/15/1974,8.748980794
2000003,8/16/1974,8.75664571
2000003,8/19/1974,8.845914834
2000003,8/20/1974,9.052720495
2000003,8/21/1974,9.294342399
2000003,8/22/1974,9.671847129
2000003,8/23/1974,9.749437268
2000003,8/26/1974,9.713490439
2000003,8/27/1974,9.554248681
2000003,8/28/1974,9.530397575
2000003,8/29/1974,9.438261692
2000003,8/30/1974,9.379868272
2000003,9/3/1974,9.419405795
2000003,9/4/1974,9.429442945
2000003,9/5/1974,9.196802054
2000003,9/6/1974,8.963417657
2000003,9/9/1974,8.676078801
2000003,9/10/1974,8.789110221
2000003,9/11/1974,8.692410447
2000003,9/12/1974,8.946955585
2000003,9/13/1974,8.779467511
2000003,9/16/1974,8.609801651
2000003,9/17/1974,8.457803166
2000003,9/18/1974,8.465543179
2000003,9/19/1974,8.401815168
2000003,9/20/1974,8.33776572
2000003,9/23/1974,8.251942489
2000003,9/24/1974,8.295468311
2000003,9/25/1974,8.23027127
2000003,9/26/1974,8.164737076
2000003,9/27/1974,7.989455967
2000003,9/30/1974,7.886430811
2000003,10/1/1974,7.980740273
2000003,10/2/1974,8.011618399
2000003,10/3/1974,8.010586784
2000003,10/4/1974,7.816759182
2000003,10/7/1974,7.456856686
2000003,10/8/1974,7.486710506
2000003,10/9/1974,7.679032138
2000003,10/10/1974,7.612015693
2000003,10/11/1974,7.642583359
2000003,10/15/1974,7.634572408
2000003,10/16/1974,7.764984423
2000003,10/17/1974,7.763318421
2000003,10/18/1974,7.595237854
2000003,10/21/1974,7.521795663
2000003,10/22/1974,7.553068225
2000003,10/23/1974,7.584528504
2000003,10/24/1974,7.616178188
2000003,10/25/1974,7.648018989
2000003,10/28/1974,7.778951178
2000003,10/29/1974,7.640024518
2000003,10/30/1974,7.638009814
2000003,10/31/1974,7.426064737
2000003,11/1/1974,7.458720187
2000003,11/4/1974,7.433504148
2000003,11/6/1974,7.343704588
2000003,11/7/1974,7.314117595
2000003,11/8/1974,7.347070583
2000003,11/12/1974,7.290608028
2000003,11/13/1974,7.292194206
2000003,11/14/1974,7.166525912
2000003,11/15/1974,7.104048907
2000003,11/18/1974,7.200706898
2000003,11/19/1974,7.168838161
2000003,11/20/1974,7.169112611
2000003,11/21/1974,7.1693925
2000003,11/22/1974,7.169677873
2000003,11/25/1974,7.20330576
2000003,11/26/1974,7.23653787
2000003,11/27/1974,7.302908923
2000003,11/29/1974,7.271142116
2000003,12/2/1974,7.373183972
2000003,12/3/1974,7.340573828
2000003,12/4/1974,7.274220429
2000003,12/5/1974,7.27485909
2000003,12/6/1974,7.208008101
2000003,12/9/1974,6.903676554
2000003,12/10/1974,7.005414261
2000003,12/11/1974,6.902939939
2000003,12/12/1974,6.936791294
2000003,12/13/1974,6.936524485
2000003,12/16/1974,6.901131231
2000003,12/17/1974,6.831393852
2000003,12/18/1974,6.796066094
2000003,12/19/1974,6.865172765
2000003,12/20/1974,6.829735177
2000003,12/23/1974,6.933996422
2000003,12/24/1974,6.933758107
2000003,12/26/1974,6.897661346
2000003,12/27/1974,6.861602924
2000003,12/30/1974,6.896331513
2000003,12/31/1974,6.881258228
2000003,1/2/1975,6.848322104
2000003,1/3/1975,6.847748498
2000003,1/6/1975,6.781481272
2000003,1/7/1975,6.683733829
2000003,1/8/1975,6.585562117
2000003,1/9/1975,6.584300951
2000003,1/10/1975,6.615589863
2000003,1/13/1975,6.677704052
2000003,1/14/1975,6.643766021
2000003,1/15/1975,6.741741614
2000003,1/16/1975,6.740906037
2000003,1/17/1975,6.640449534
2000003,1/20/1975,6.670581054
2000003,1/21/1975,6.568896391
2000003,1/22/1975,6.466745522
2000003,1/23/1975,6.263189107
2000003,1/24/1975,6.126218775
2000003,1/27/1975,6.118538478
2000003,1/28/1975,6.081898508
2000003,1/29/1975,6.079207152
2000003,1/30/1975,6.110754505
2000003,1/31/1975,6.118983013
2000003,2/3/1975,5.966256082
2000003,2/4/1975,5.873888324
2000003,2/5/1975,5.658065458
2000003,2/6/1975,5.718805628
2000003,2/7/1975,5.841820697
2000003,2/10/1975,5.965416016
2000003,2/11/1975,5.965304501
2000003,2/13/1975,5.965088013
2000003,2/14/1975,5.838703897
2000003,2/18/1975,5.675236692
2000003,2/19/1975,5.609748808
2000003,2/20/1975,5.639892634
2000003,2/21/1975,5.606051594
2000003,2/24/1975,5.697474957
2000003,2/25/1975,5.793231076
2000003,2/26/1975,5.889598207
2000003,2/27/1975,5.888492785
2000003,2/28/1975,5.821865372
2000003,3/3/1975,5.817981113
2000003,3/4/1975,5.882916037
2000003,3/5/1975,5.815369436
2000003,3/6/1975,5.747493748
2000003,3/7/1975,5.846129185
2000003,3/10/1975,5.876110695
2000003,3/11/1975,5.841188919
2000003,3/12/1975,5.806083735
2000003,3/13/1975,5.77079347
2000003,3/14/1975,5.803387891
2000003,3/17/1975,5.868006154
2000003,3/18/1975,5.866833219
2000003,3/19/1975,5.900220086
2000003,3/20/1975,5.864475635
2000003,3/21/1975,5.898055106
2000003,3/24/1975,5.964954353
2000003,3/25/1975,5.99926845
2000003,3/26/1975,6.033799018
2000003,3/27/1975,6.033111885
2000003,3/31/1975,6.18378292
2000003,4/1/1975,6.27320347
2000003,4/2/1975,6.520714305
2000003,4/3/1975,6.485307088
2000003,4/4/1975,6.671704026
2000003,4/7/1975,6.917686632
2000003,4/8/1975,6.850600085
2000003,4/9/1975,6.751004032
2000003,4/10/1975,6.747767604
2000003,4/11/1975,6.712157326
2000003,4/14/1975,6.669452963
2000003,4/15/1975,6.633283479
2000003,4/16/1975,6.564176766
2000003,4/17/1975,6.626096894
2000003,4/18/1975,6.688397732
2000003,4/21/1975,6.744490753
2000003,4/22/1975,6.774530908
2000003,4/23/1975,6.771290512
2000003,4/24/1975,6.734493242
2000003,4/25/1975,6.764766722
2000003,4/28/1975,6.754871562
2000003,4/29/1975,6.751543442
2000003,4/30/1975,6.65193847
2000003,5/1/1975,6.683289561
2000003,5/2/1975,6.377719317
2000003,5/5/1975,6.316221109
2000003,5/6/1975,6.347012742
2000003,5/7/1975,6.408977448
2000003,5/8/1975,6.315910137
2000003,5/9/1975,6.31581154
2000003,5/12/1975,6.127387836
2000003,5/13/1975,6.001229294
2000003,5/14/1975,6.000300633
2000003,5/15/1975,6.062471376
2000003,5/16/1975,5.998192473
2000003,5/19/1975,5.962772327
2000003,5/20/1975,5.96149708
2000003,5/21/1975,5.928191666
2000003,5/22/1975,6.023187013
2000003,5/23/1975,6.02207067
2000003,5/27/1975,6.082732065
2000003,5/28/1975,6.049103414
2000003,5/29/1975,6.04805634
2000003,5/30/1975,5.993378829
2000003,6/2/1975,6.025533285
2000003,6/3/1975,5.994050999
2000003,6/4/1975,5.994228204
2000003,6/5/1975,5.994409136
2000003,6/6/1975,5.962609891
2000003,6/9/1975,5.834058585
2000003,6/10/1975,5.833822896
2000003,6/11/1975,5.704181384
2000003,6/12/1975,5.638777263
2000003,6/13/1975,5.670507665
2000003,6/16/1975,5.602965773
2000003,6/17/1975,5.766416949
2000003,6/18/1975,5.997114779
2000003,6/19/1975,6.030499283
2000003,6/20/1975,6.297130163
2000003,6/23/1975,6.334022772
2000003,6/24/1975,6.402681415
2000003,6/25/1975,6.505633624
2000003,6/26/1975,6.643267832
2000003,6/27/1975,6.577197316
2000003,6/30/1975,6.741545204
2000003,7/1/1975,6.767903611
2000003,7/2/1975,6.762970033
2000003,7/3/1975,6.789535883
2000003,7/7/1975,6.801676921
2000003,7/8/1975,6.732896566
2000003,7/9/1975,6.791849467
2000003,7/10/1975,6.786901994
2000003,7/11/1975,6.717547552
2000003,7/14/1975,6.701983003
2000003,7/15/1975,6.696745935
2000003,7/16/1975,6.72410304
2000003,7/17/1975,6.784348173
2000003,7/18/1975,6.844963056
2000003,7/21/1975,6.929591297
2000003,7/22/1975,7.024641298
2000003,7/23/1975,7.086930813
2000003,7/24/1975,7.116127172
2000003,7/25/1975,7.111924917
2000003,7/28/1975,7.133057131
2000003,7/29/1975,7.094921083
2000003,7/30/1975,7.090620516
2000003,7/31/1975,7.126859664
2000003,8/1/1975,7.187454436
2000003,8/4/1975,7.24811732
2000003,8/5/1975,7.247978691
2000003,8/6/1975,7.309778349
2000003,8/7/1975,7.465223285
2000003,8/8/1975,7.434482239
2000003,8/11/1975,7.34136633
2000003,8/12/1975,7.37298836
2000003,8/13/1975,7.404793429
2000003,8/14/1975,7.436783126
2000003,8/15/1975,7.468959056
2000003,8/18/1975,7.4051278
2000003,8/19/1975,7.405034744
2000003,8/20/1975,7.404945439
2000003,8/21/1975,7.469389356
2000003,8/22/1975,7.404778202
2000003,8/25/1975,7.469771238
2000003,8/26/1975,7.371811102
2000003,8/27/1975,7.306159696
2000003,8/28/1975,7.24020164
2000003,8/29/1975,7.295429195
2000003,9/2/1975,7.214875313
2000003,9/3/1975,7.250678664
2000003,9/4/1975,7.254258718
2000003,9/5/1975,7.25786165
2000003,9/8/1975,7.26880965
2000003,9/9/1975,7.272506042
2000003,9/10/1975,7.309175287
2000003,9/11/1975,7.379115697
2000003,9/12/1975,7.416311263
2000003,9/15/1975,7.495742296
2000003,9/16/1975,7.567277556
2000003,9/17/1975,7.571907165
2000003,9/18/1975,7.475350602
2000003,9/19/1975,7.378362022
2000003,9/22/1975,7.322807281
2000003,9/23/1975,7.32685719
2000003,9/24/1975,7.330934042
2000003,9/25/1975,7.335038076
2000003,9/26/1975,7.373603658
2000003,9/29/1975,7.421199173
2000003,9/30/1975,7.523234425
2000003,10/1/1975,7.521390135
2000003,10/2/1975,7.455985102
2000003,10/3/1975,7.294840931
2000003,10/6/1975,7.06340296
2000003,10/7/1975,7.188682894
2000003,10/8/1975,7.153774645
2000003,10/9/1975,7.021986444
2000003,10/10/1975,6.825153787
2000003,10/14/1975,6.810257063
2000003,10/15/1975,6.871870188
2000003,10/16/1975,6.737196114
2000003,10/17/1975,6.733220212
2000003,10/20/1975,6.654996275
2000003,10/21/1975,6.551290548
2000003,10/22/1975,6.546767178
2000003,10/23/1975,6.508901701
2000003,10/24/1975,6.470840523
2000003,10/27/1975,6.490129763
2000003,10/28/1975,6.417837335
2000003,10/29/1975,6.345183799
2000003,10/30/1975,6.102752108
2000003,10/31/1975,6.158273007
2000003,11/3/1975,6.219096105
2000003,11/5/1975,6.185469874
2000003,11/6/1975,6.184583916
2000003,11/7/1975,6.087164919
2000003,11/10/1975,6.051301212
2000003,11/12/1975,6.146610706
2000003,11/13/1975,6.211051291
2000003,11/14/1975,6.308723648
2000003,11/17/1975,6.307088253
2000003,11/18/1975,6.339752449
2000003,11/19/1975,6.339299293
2000003,11/20/1975,6.338846869
2000003,11/21/1975,6.438912628
2000003,11/24/1975,6.370820742
2000003,11/25/1975,6.404348314
2000003,11/26/1975,6.404091039
2000003,11/28/1975,6.414769933
2000003,12/1/1975,6.410907386
2000003,12/2/1975,6.409082425
2000003,12/3/1975,6.407251064
2000003,12/4/1975,6.56484313
2000003,12/5/1975,6.627426844
2000003,12/8/1975,6.655906663
2000003,12/9/1975,6.687091105
2000003,12/10/1975,6.653532498
2000003,12/11/1975,6.58728545
2000003,12/12/1975,6.52072745
2000003,12/15/1975,6.45039084
2000003,12/16/1975,6.448649233
2000003,12/17/1975,6.380907763
2000003,12/18/1975,6.41205521
2000003,12/19/1975,6.178214003
2000003,12/22/1975,6.137318986
2000003,12/23/1975,6.101240786
2000003,12/24/1975,6.064975054
2000003,12/26/1975,5.958177826
2000003,12/29/1975,5.948706042
2000003,12/30/1975,5.877392628
2000003,12/31/1975,5.967336358
2000003,1/2/1976,5.992045947
2000003,1/5/1976,5.918387013
2000003,1/6/1976,5.819312725
2000003,1/7/1976,5.719807504
2000003,1/8/1976,5.68374789
2000003,1/9/1976,5.583478898
2000003,1/12/1976,5.537702282
2000003,1/13/1976,5.533065233
2000003,1/14/1976,5.560836734
2000003,1/15/1976,5.621310034
2000003,1/16/1976,5.682154277
2000003,1/19/1976,5.570517882
2000003,1/20/1976,5.598883707
2000003,1/21/1976,5.528187848
2000003,1/22/1976,5.556587823
2000003,1/23/1976,5.452178265
2000003,1/26/1976,5.470634911
2000003,1/27/1976,5.465659785
2000003,1/28/1976,5.426961325
2000003,1/29/1976,5.388056641
2000003,1/30/1976,5.52688793
2000003,2/2/1976,5.570530443
2000003,2/3/1976,5.625372627
2000003,2/4/1976,5.74096121
2000003,2/5/1976,5.705737886
2000003,2/6/1976,5.76146309
2000003,2/9/1976,5.716080366
2000003,2/10/1976,5.711032188
2000003,2/11/1976,5.705959521
2000003,2/13/1976,5.695739873
2000003,2/17/1976,5.642006531
2000003,2/18/1976,5.698515686
2000003,2/19/1976,5.692450712
2000003,2/20/1976,5.717887917
2000003,2/23/1976,5.667893351
2000003,2/24/1976,5.693542911
2000003,2/25/1976,5.751309088
2000003,2/26/1976,5.745287055
2000003,2/27/1976,6.00530737
2000003,3/1/1976,6.261240669
2000003,3/2/1976,6.23007401
2000003,3/3/1976,6.23081064
2000003,3/4/1976,6.263703848
2000003,3/5/1976,6.167864991
2000003,3/8/1976,6.104724288
2000003,3/9/1976,6.105154042
2000003,3/10/1976,6.040363692
2000003,3/11/1976,6.073323291
2000003,3/12/1976,6.040895773
2000003,3/15/1976,6.041726548
2000003,3/16/1976,6.04201233
2000003,3/17/1976,6.009077443
2000003,3/18/1976,5.975973948
2000003,3/19/1976,5.976088655
2000003,3/22/1976,5.84184349
2000003,3/23/1976,5.841594622
2000003,3/24/1976,5.841347135
2000003,3/25/1976,5.807189954
2000003,3/26/1976,5.806849173
2000003,3/29/1976,5.840130846
2000003,3/30/1976,5.874300084
2000003,3/31/1976,5.98444423
2000003,4/1/1976,6.046552409
2000003,4/2/1976,5.981810873
2000003,4/5/1976,5.913775946
2000003,4/6/1976,5.816010723
2000003,4/7/1976,5.814243474
2000003,4/8/1976,5.812469397
2000003,4/9/1976,5.746050686
2000003,4/12/1976,5.642475864
2000003,4/13/1976,5.542386081
2000003,4/14/1976,5.539859678
2000003,4/15/1976,5.537321874
2000003,4/19/1976,5.626513864
